nickname,spot_name,score
이용자47,대장이랜드중장농촌체험휴양마을,2
이용자47,공주무령왕릉과왕릉원,4
이용자47,공주산성시장문화공원,3
이용자47,마곡사,4
이용자48,충청남도역사박물관,3
이용자48,신원사,4
이용자48,아트센터고마,3
이용자48,천주교황새바위순교성지,5
이용자48,공주목재문화체험장,2
이용자48,유구색동수국정원,3
이용자49,천주교황새바위순교성지,3
이용자49,국립공주박물관,2
이용자49,곡물집,5
이용자49,공주무령왕릉과왕릉원,2
이용자49,공산성,3
이용자49,공주한옥마을,3
이용자50,공주목재문화체험장,4
이용자50,석장리박물관,4
이용자50,베이커리밤마을,5
이용자50,공주산성시장문화공원,3
이용자50,천주교황새바위순교성지,2
이용자50,계룡저수지,3
